,name,address,price,rating,amenities
0,Collection O 77042 Tetrad Hotel (Kanaka Grand),"Hebbal, Bangalore",₹1286,(867 Ratings),"Parking Facility, Elevator, Power backup"
1,Capital O 70534 Habitat Suites And Rooms ,"Near Yeshwantpur Station, Bangalore",₹1398,(362 Ratings),"Free Wifi, Power backup, AC"
2,SPOT ON 75564 Manyata Deluxe,"Near manyata tech park, Nagavara, Bangalore",₹742,(2293 Ratings),"TV, AC, Reception"
3,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",₹1326,(807 Ratings),"Parking Facility, Reception, Free Wifi"
4,OYO Townhouse 364 Richmond Road,"Near Baldwin Women College, Richmond Town, Bengaluru",₹1258,(1408 Ratings),"Reception, Free Wifi, Power backup"
5,OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore",₹1054,,"Reception, Free Wifi, Power backup"
6,Capital O 28398 Mysore Gate,"Near Nalanda Theater, Mysore Road, Bangalore",₹1269,(449 Ratings),"Reception, Security, 24/7 Checkin"
7,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",₹1013,(643 Ratings),"Elevator, Free Wifi, Geyser"
8,Capital O 11927 Varcity Imperium,"Near Sulthangunta, Shivaji Nagar, Bangalore ",₹1380,(379 Ratings),"Free Wifi, Power backup, Card Payment"
9,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",₹1216,(290 Ratings),"Reception, Free Wifi, Power backup"
10,Capital O 38666 Elmas Golden Key,"Near PVR Koramangala, 7th Block, Bangalore",₹1343,(643 Ratings),"Private Entrance, Reception, Free Wifi"
11,Capital O 47538 Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",₹1228,(2112 Ratings),"Hair Dryer, Parking Facility, Reception"
12,OYO 8501 Abhimaani Comforts,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,₹845,(921 Ratings),"Parking Facility, Elevator, Free Wifi"
13,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore",₹1371,(902 Ratings),"Elevator, Free Wifi, Geyser"
14,OYO 78888 Elite Stays JP Nagar New,"JP Nagar 6th Phase, Bangalore",₹1347,(613 Ratings),"Private Entrance, Elevator, Free Wifi"
15,Capital O 5683 SS Suites,"Near Big Bazar, Bannerghatta Road, Bangalore",₹1736,(693 Ratings),
16,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1337,(625 Ratings),"Parking Facility, Reception, Free Wifi"
17,OYO 30678 S K Residency,"Centrally Located, Near Malleshwaram Police Station, Srirampura, Bangalore",₹1648,(439 Ratings),"Reception, Daily Housekeeping, Refrigerator"
18,Capital O 74658 Nandhana Vistaa,"Near manyata tech park, Kammanahalli, Bangalore",₹1318,(1150 Ratings),"Reception, Power backup, TV"
19,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore",₹1243,(479 Ratings),"Free Wifi, Power backup, Card Payment"
20,Capital O 36137 Vihaari 24 Business Hotel,"Near HRBR Layout, Kalyan Nagar, Bengaluru",₹1805,(528 Ratings),"Hair Dryer, Parking Facility, Reception"
21,OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",₹1588,(2 Ratings),"Elevator, Parking Facility, Free Wifi"
22,SPOT ON 71449 Ssr Lodging And Boarding,"Near Jumma masjid, Shivaji Nagar, Bangalore",₹1014,(298 Ratings),"Reception, Free Wifi, Power backup"
23,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1352,(1017 Ratings),"Parking Facility, Reception, Free Wifi"
24,OYO Townhouse 049 HSR Layout,"Near HSR Club, Kadalda Meen, Bangalore",₹1504,(1538 Ratings),"Free Wifi, Power backup, CCTV Cameras"
25,Capital O 78988 Smile Hotel ,", Bangalore",₹1588,(45 Ratings),"Reception, Public Washroom, Caretaker"
26,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",₹1088,(806 Ratings),"Reception, Free Wifi, Power backup"
27,Capital O 5379 The Roy Grand Inns,"Near AVS Layout, Koramangala, Bangalore",₹1014,(185 Ratings),"Reception, Free Wifi, Power backup"
28,SPOT ON 65593 Yatra Inn,"Near Majestic Railway station, Lalbagh, Bangalore",₹610,(1464 Ratings),"Reception, CCTV Cameras, Power backup"
29,SPOT ON 72596 Royal Regency ,"Centrally Located, Near Movieland Theatre, RK Puram, Bangalore",₹1216,(596 Ratings),"TV, Parking Facility, AC"
30,OYO 66437 Champion Grand,"Near Polar Bear, Nagarbhavi, Bangalore",₹1966,(403 Ratings),"Reception, Free Wifi, Power backup"
31,OYO 6825 New Crescent Citadel,"Near Kemp Fort Mall, Murugeshpalya, Bangalore",₹1193,(382 Ratings),"AC, Queen Sized Bed"
32,OYO 72492 A K Residency,"Centrally Located, Near S T Bed, Koramangala 1st Block, Bangalore",₹1216,,"Reception, AC, Daily Housekeeping"
33,OYO 79745 My Own Nest,"Bangalore, Bangalore",₹1000,(93 Ratings),"Doctor on Call, Reception, Free Wifi"
34,OYO Townhouse 038 Banaswadi 100Ft Road,"Kammanahalli Bangalore, Bangalore",₹1662,(475 Ratings),"Parking Facility, Reception, Free Wifi"
35,OYO 45125 Banashankari Comforts,"Near CBI Office, Ganganagar, Bangalore",₹1609,(191 Ratings),"Power backup, 24/7 Checkin, AC"
36,Capital O 15403 Krishna Vaibhava,"Near Water Tank BTM, BTM 2nd stage, Bangalore",₹1659,(114 Ratings),"Parking Facility, Free Wifi, Power backup"
37,SPOT ON 36102 Akshara Regency,"Near ADB Building, Gokula 1st Stage, Bangalore",₹700,(1181 Ratings),"Reception, Queen Sized Bed, Geyser"
38,Collection O 30012 Near Malleswaram,"Near Malleswaram, Bangalore",₹1963,(197 Ratings),"Reception, Free Wifi, Power backup"
39,OYO 25036 Suraksha Residency,"Near 6th Cross Road, Gandhi Nagar, Bangalore",₹1172,(295 Ratings),"Reception, Free Wifi, Power backup"
40,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1013,(740 Ratings),"Private Entrance, Reception, Free Wifi"
41,Collection O 81254 Gt Hotel,"2nd Phase Mathikere, Bangalore",₹1289,,"Reception, Free Wifi, Power backup"
42,OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",₹1291,(924 Ratings),"Reception, Free Wifi, Power backup"
43,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",₹1310,(184 Ratings),"Reception, Public Washroom, Security"
44,OYO 81255 My Own Nest 2,"India, Bangalore",₹1375,,"Doctor on Call, Reception, Bedside Table / Desk"
45,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹790,(3 Ratings),"TV, Geyser, CCTV Cameras"
46,OYO 12083 Hotel Champion Inn,"Near Chandan Bar, Mathikere, Bangalore",₹1177,(719 Ratings),AC
47,OYO Townhouse 238 Ulssor,"Halasuru, Bangalore",₹1610,(759 Ratings),"Doctor on Call, Reception, Public Washroom"
48,OYO 69693 The Royal Park ,"Near OYE Amritsar, New Tippasandra, Banglore",₹1457,(287 Ratings),AC
49,OYO 78918 Leva Homes,"Mahadevapura Zone, Bangalore",₹903,(289 Ratings),"Elevator, Private Entrance, Free Wifi"
50,OYO 76298 Prime Suites,"Near Hatti Kappi, Yellappa Garden, Bangalore",₹1632,(322 Ratings),"Free Wifi, Power backup, Card Payment"
51,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",₹1166,(524 Ratings),"Parking Facility, Free Wifi, Power backup"
52,OYO 18680 Olivia Comforts,"Near Eat Street, Kormangala, Bangalore",₹1216,(1054 Ratings),"Reception, Free Wifi, Power backup"
53,Capital O 74788 Hotel Nandhana Pride ,"Near Manyata Tech Park, Byatarayanapura, Bangalore",₹1276,(307 Ratings),"Parking Facility, Reception, Free Wifi"
54,Collection O 42670 Grand Continent,"Near gopalan cinemas, J.P. Nagar, Bangalore",₹1518,(2018 Ratings),"Private Entrance, Reception, Free Wifi"
55,OYO 77430 Hiland Suites,"560001, Bangalore",₹1670,(102 Ratings),"Reception, Free Wifi, Power backup"
56,OYO 13567 Sri Sai Guru Comforts,"Near Kalyan Nagar, Babu Sahibpalya, Bangalore",₹1351,(206 Ratings),"Free Wifi, Power backup, Card Payment"
57,CAPITAL O 23461 Champion Lotus,"Near IIFT, Vijayanagar, Bangalore",₹1276,(1167 Ratings),"Reception, Power backup, Security"
58,SPOT ON 76312 Sri Balaji Comforts,"Bangalore Urban, Bangalore",₹572,(772 Ratings),"TV, AC, Reception"
59,OYO 62331 GN Collection O,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",₹1456,(2096 Ratings),"Reception, Free Wifi, Power backup"
60,OYO 554 Hotel Red Carpet Residence,"Near Manipal Centre, Ulsoor Road, Bangalore",₹1448,(519 Ratings),"AC, TV, Mini Fridge"
61,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore",₹1503,(440 Ratings),"Parking Facility, Free Wifi, Power backup"
62,Collection O 77215 Manpho Bell,"Railway Colony Majestic , Bangalore",₹1672,(927 Ratings),"Reception, Security, In-house Restaurant"
63,SPOT ON 47801 S.G Comforts,"Near State Bank Of India, M S K Nagar, Bangalore",₹1216,(44 Ratings),"Twin Single Bed, Reception, Power backup"
64,OYO 8116 Park Inn,"Near Empire Restaurant Indiranagar , Close to BSNL Indiranagar office .",₹1331,(121 Ratings),"Elevator, Free Wifi, Geyser"
65,OYO 3974 Hotel Bcp Royal Residency,"Near Race Course, 6th A Cross, Bangalore",₹1630,(1155 Ratings),"Parking Facility, Free Wifi, Power backup"
66,Capital O 77528 Smile Hotels,"India, Bangalore",₹1620,(110 Ratings),"Doctor on Call, Reception, Public Washroom"
67,OYO 60746 Kings Suites,"Near Banaswadi Police Station, Hrbr Layout, Bangalore",₹1744,(302 Ratings),"AC, AC, TV"
68,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",₹1014,(25 Ratings),"Parking Facility, Reception, Free Wifi"
69,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore",₹1014,,"Reception, Free Wifi, Power backup"
70,Townhouse Oak White Inn,"Koramangala, Bangalore",₹1543,,"Free Wifi, Power backup, Security"
71,SPOT ON 60556 Udupi Residency,"KHB Colony, Koramangala, Bangalore",₹835,(308 Ratings),"TV, Private Entrance, Reception"
72,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore",₹1142,(574 Ratings),"Cot, AC, Bedside Table / Desk"
73,Capital O 11092 Shiv Enclave,"Near Nagavara, Ashwath Nagar, Bangalore",₹1491,(223 Ratings),"TV, AC, Wheelchair Accessible"
74,Capital O 11148 Amethyst Business Hotel,"5th Block, Jayanagar, Bangalore",₹1673,(92 Ratings),"Doctor on Call, Reception, Power backup"
75,OYO 23032 Hotel Mayur Paradise,"Near Shamaro Vittal Co-Operative Bank, Bangalore",₹1014,(467 Ratings),"Parking Facility, Reception, Free Wifi"
76,SPOT ON 78462 A Class Suites ,"India, Bangalore",₹1059,(12 Ratings),"TV, Reception, Wakeup Service"
77,OYO 11915 Varcity Park,"Near SV Hospitals, Madiwala, Bangalore",₹1245,(1058 Ratings),"Elevator, Free Wifi, Geyser"
78,OYO 79635 Flagship Hotel MSR Lodgi,"Bangalore Urban, Bangalore",₹1604,,"Cot, Free Wifi, AC"
79,Capital O 79118 Green Residency,"kanteerava nagar, Bangalore",₹1272,(27 Ratings),"Reception, CCTV Cameras, Daily Housekeeping"
